id_major,id_university,type,major_name,capacity,university_name
1111014,111,science,PENDIDIKAN DOKTER HEWAN,88,UNIVERSITAS SYIAH KUALA
1111022,111,science,TEKNIK SIPIL,64,UNIVERSITAS SYIAH KUALA
1111037,111,science,TEKNIK MESIN,48,UNIVERSITAS SYIAH KUALA
1111045,111,science,TEKNIK KIMIA,48,UNIVERSITAS SYIAH KUALA
1111053,111,science,ARSITEKTUR,48,UNIVERSITAS SYIAH KUALA
1111061,111,science,TEKNIK ELEKTRO,48,UNIVERSITAS SYIAH KUALA
1111076,111,science,AGROTEKNOLOGI,48,UNIVERSITAS SYIAH KUALA
1111084,111,science,AGRIBISNIS,48,UNIVERSITAS SYIAH KUALA
1111092,111,science,PETERNAKAN,48,UNIVERSITAS SYIAH KUALA
1111103,111,science,TEKNOLOGI HASIL PERTANIAN,48,UNIVERSITAS SYIAH KUALA
1111111,111,science,TEKNIK PERTANIAN,40,UNIVERSITAS SYIAH KUALA
1111126,111,science,PENDIDIKAN BIOLOGI,48,UNIVERSITAS SYIAH KUALA
1111134,111,science,PENDIDIKAN MATEMATIKA,48,UNIVERSITAS SYIAH KUALA
1111142,111,science,PENDIDIKAN FISIKA,36,UNIVERSITAS SYIAH KUALA
1111157,111,science,PENDIDIKAN KIMIA,40,UNIVERSITAS SYIAH KUALA
1111165,111,science,PENDIDIKAN DOKTER,60,UNIVERSITAS SYIAH KUALA
1111173,111,science,ILMU KEPERAWATAN,60,UNIVERSITAS SYIAH KUALA
1111181,111,science,PENDIDIKAN DOKTER GIGI,24,UNIVERSITAS SYIAH KUALA
1111196,111,science,MATEMATIKA,36,UNIVERSITAS SYIAH KUALA
1111207,111,science,FISIKA,36,UNIVERSITAS SYIAH KUALA
1111215,111,science,KIMIA,36,UNIVERSITAS SYIAH KUALA
1111223,111,science,BIOLOGI,36,UNIVERSITAS SYIAH KUALA
1111231,111,science,ILMU KELAUTAN,72,UNIVERSITAS SYIAH KUALA
1111246,111,science,BUDIDAYA PERAIRAN,72,UNIVERSITAS SYIAH KUALA
1111254,111,science,TEKNIK INDUSTRI,48,UNIVERSITAS SYIAH KUALA
1111262,111,science,INFORMATIKA,36,UNIVERSITAS SYIAH KUALA
1111277,111,science,FARMASI,24,UNIVERSITAS SYIAH KUALA
1111285,111,science,TEKNIK GEOFISIKA,32,UNIVERSITAS SYIAH KUALA
1111293,111,science,TEKNIK PERTAMBANGAN,24,UNIVERSITAS SYIAH KUALA
1111304,111,science,STATISTIKA,24,UNIVERSITAS SYIAH KUALA
1111312,111,science,PEMANFAATAN SUMBERDAYA PERIKANAN,72,UNIVERSITAS SYIAH KUALA
1111327,111,science,ILMU TANAH,32,UNIVERSITAS SYIAH KUALA
1111335,111,science,TEKNIK GEOLOGI,24,UNIVERSITAS SYIAH KUALA
1111343,111,science,AGROTEKNOLOGI (PSDKU GAYO LUES),20,UNIVERSITAS SYIAH KUALA
1111351,111,science,PENDIDIKAN BIOLOGI  (PDSKU GAYO LUES),16,UNIVERSITAS SYIAH KUALA
1111366,111,science,KEHUTANAN (PSDKU GAYO LUES),16,UNIVERSITAS SYIAH KUALA
1111374,111,science,PROTEKSI TANAMAN,32,UNIVERSITAS SYIAH KUALA
1111382,111,science,PERENCANAAN WILAYAH DAN KOTA,24,UNIVERSITAS SYIAH KUALA
1111397,111,science,KEHUTANAN,32,UNIVERSITAS SYIAH KUALA
1111401,111,science,TEKNIK KOMPUTER,40,UNIVERSITAS SYIAH KUALA
1121016,112,science,TEKNIK SIPIL,100,UNIVERSITAS MALIKUSSALEH
1121024,112,science,TEKNIK MESIN,100,UNIVERSITAS MALIKUSSALEH
1121032,112,science,TEKNIK KIMIA,100,UNIVERSITAS MALIKUSSALEH
1121047,112,science,TEKNIK ELEKTRO,80,UNIVERSITAS MALIKUSSALEH
1121055,112,science,TEKNIK INDUSTRI,80,UNIVERSITAS MALIKUSSALEH
1121063,112,science,TEKNIK INFORMATIKA,80,UNIVERSITAS MALIKUSSALEH
1121071,112,science,TEKNIK ARSITEKTUR,64,UNIVERSITAS MALIKUSSALEH
1121086,112,science,AGROEKOTEKNOLOGI,80,UNIVERSITAS MALIKUSSALEH
1121094,112,science,AGRIBISNIS,60,UNIVERSITAS MALIKUSSALEH
1121105,112,science,BUDIDAYA PERAIRAN,48,UNIVERSITAS MALIKUSSALEH
1121113,112,science,PENDIDIKAN DOKTER,32,UNIVERSITAS MALIKUSSALEH
1121121,112,science,PENDIDIKAN FISIKA,48,UNIVERSITAS MALIKUSSALEH
1121136,112,science,PENDIDIKAN KIMIA,32,UNIVERSITAS MALIKUSSALEH
